10.86808400	14 00 00 00 00 00 00
10.87753760	13 00 00 00 00 00 00
11.83021520	14 00 00 00 00 00 00
12.60945200	f3 00 00 00 00 00 00
13.58812880	14 00 00 00 00 00 00
13.59781520	13 00 00 00 00 00 00
14.54728400	14 00 00 00 00 00 00
15.50931920	14 00 00 00 00 00 00
16.47077840	14 00 00 00 00 00 00
17.42622480	14 00 00 00 00 00 00
17.71719040	14 00 00 00 00 00 00
17.78077360	f3 00 00 00 00 00 00
18.32016320	14 00 00 00 00 00 00
18.38588880	13 00 00 00 00 00 00
18.38659520	14 00 00 00 00 00 00
18.40213360	13 00 00 00 00 00 00
19.34238480	14 00 00 00 00 00 00
19.35931120	14 00 00 00 00 00 00
20.30059840	14 00 00 00 00 00 00
20.31752640	14 00 00 00 00 00 00
21.26357520	14 00 00 00 00 00 00
21.28051360	14 00 00 00 00 00 00
22.22206000	14 00 00 00 00 00 00
22.24089920	14 00 00 00 00 00 00
22.75326160	11 0a c2 0a 00 c8 00
22.85924320	11 0a c0 0a 00 c8 00
22.97078400	11 0a c0 0a 00 c8 00
23.08244880	11 0a bc 0a 00 c8 00
23.18462880	14 00 00 00 00 00 00
23.19323120	11 0a b9 0a 00 c8 00
23.30390480	11 0a b5 0a 00 c8 00
23.41462160	11 0a b2 0a 00 c8 00
23.52534080	11 0a ae 0a 00 c8 00
23.63699680	11 0a aa 0a 00 c8 00
23.74876480	11 0a a6 0a 00 c8 00
23.86031840	11 0a a2 0a 00 c8 00
23.97102080	11 0a 9e 0a 00 c8 00
24.08265920	11 0a 9a 0a 00 c8 00
24.14285760	14 00 00 00 00 00 00
24.19434080	11 0a c2 0a 00 c8 00
24.30604400	11 0a be 0a 00 c8 00
24.41673680	11 0a ba 0a 00 c8 00
24.52746880	11 0a b7 0a 00 c8 00
24.63908400	11 0a b4 0a 00 c8 00
24.74516000	11 0a b0 0a 00 c8 00
24.85071120	11 0a c2 0a 00 c8 00
24.95802720	11 0a c2 0a 00 c8 00
25.05450320	13 00 00 00 00 00 00
25.10115360	14 00 00 00 00 00 00
25.18890560	11 0a d4 07 00 ff 00
25.30146720	11 0a d3 07 00 ff 00
25.41409760	11 0a d2 07 00 ff 00
25.52577760	11 0a ce 07 00 ff 00
25.63650000	11 0a cb 07 00 ff 00
25.74713520	11 0a c7 07 00 ff 00
25.85881040	11 0a c3 07 00 ff 00
25.96955760	11 0a bf 07 00 ff 00
26.06316720	14 00 00 00 00 00 00
26.08034480	11 0a bb 07 00 ff 00
26.19191840	11 0a b7 07 00 ff 00
26.30355840	11 0a b2 07 00 ff 00
26.41521120	11 0a ae 07 00 ff 00
26.52700160	11 0a a9 07 00 ff 00
26.63855280	11 0a a4 07 00 ff 00
26.74744160	11 0a 9f 07 00 ff 00
26.85806320	11 0a 99 07 00 ff 00
26.96976160	11 0a 93 07 00 ff 00
27.02432880	13 00 00 00 00 00 00
27.02505760	14 00 00 00 00 00 00
27.25231200	11 0a d4 06 00 ff 00
27.36203360	11 0a d4 06 00 ff 00
27.47367680	11 0a d4 06 00 ff 00
27.50098320	13 00 00 00 00 00 00
27.78392480	11 0a d4 06 00 ff 00
27.89455520	11 0a d4 06 00 ff 00
27.98048960	14 00 00 00 00 00 00
28.00488000	11 0a d0 06 00 ff 00
28.11512480	11 0a cd 06 00 ff 00
28.22623920	11 0a c9 06 00 ff 00
28.33645680	11 0a c5 06 00 ff 00
28.44822480	11 0a c1 06 00 ff 00
28.55885760	11 0a bd 06 00 ff 00
28.66953520	11 0a b9 06 00 ff 00
28.78117200	11 0a b5 06 00 ff 00
28.89284080	11 0a b0 06 00 ff 00
28.93584240	14 00 00 00 00 00 00
29.00450160	11 0a ac 06 00 ff 00
29.11525040	11 0a a6 06 00 ff 00
29.22598240	11 0a d4 06 00 ff 00
29.26035440	13 00 00 00 00 00 00
29.40349040	11 0a d4 05 00 ff 00
29.51417280	11 0a d2 05 00 ff 00
29.62684160	11 0a d2 05 00 ff 00
